row,label,x,y
0,big|big|big,0,0
1,big|big|brown,0,0
2,big|big|calico,0,0
3,big|big|cat,0,0
4,big|big|dog,0,0
5,big|big|lay,0,0
6,big|big|mat,0,0
7,big|big|on,0,0
8,big|big|red,0,0
9,big|big|rug,0,0
10,big|big|sat,0,0
11,big|big|small,0,0
12,big|big|tabby,0,0
13,big|big|the,0,0
14,big|brown|big,0,0
15,big|brown|brown,0,0
16,big|brown|calico,0,0
17,big|brown|cat,0,0
18,big|brown|dog,0,0
19,big|brown|lay,0,0
20,big|brown|mat,0,0
21,big|brown|on,0,0
22,big|brown|red,0,0
23,big|brown|rug,0,0
24,big|brown|sat,0,0
25,big|brown|small,0,0
26,big|brown|tabby,0,0
27,big|brown|the,0,0
28,big|calico|big,0,0
29,big|calico|brown,0,0
30,big|calico|calico,0,0
31,big|calico|cat,0,0
32,big|calico|dog,0,0
33,big|calico|lay,0,0
34,big|calico|mat,0,0
35,big|calico|on,0,0
36,big|calico|red,0,0
37,big|calico|rug,0,0
38,big|calico|sat,0,0
39,big|calico|small,0,0
40,big|calico|tabby,0,0
41,big|calico|the,0,0
42,big|cat|big,0,0
43,big|cat|brown,0,0
44,big|cat|calico,0,0
45,big|cat|cat,0,0
46,big|cat|dog,0,0
47,big|cat|lay,0,0
48,big|cat|mat,0,0
49,big|cat|on,0,0
50,big|cat|red,0,0
51,big|cat|rug,0,0
52,big|cat|sat,0,0
53,big|cat|small,0,0
54,big|cat|tabby,0,0
55,big|cat|the,0,0
56,big|dog|big,0,0
57,big|dog|brown,0,0
58,big|dog|calico,0,0
59,big|dog|cat,0,0
60,big|dog|dog,0,0
61,big|dog|lay,0,0
62,big|dog|mat,0,0
63,big|dog|on,0,0
64,big|dog|red,0,0
65,big|dog|rug,0,0
66,big|dog|sat,0,0
67,big|dog|small,0,0
68,big|dog|tabby,0,0
69,big|dog|the,0,0
70,big|lay|big,0,0
71,big|lay|brown,0,0
72,big|lay|calico,0,0
73,big|lay|cat,0,0
74,big|lay|dog,0,0
75,big|lay|lay,0,0
76,big|lay|mat,0,0
77,big|lay|on,0,0
78,big|lay|red,0,0
79,big|lay|rug,0,0
80,big|lay|sat,0,0
81,big|lay|small,0,0
82,big|lay|tabby,0,0
83,big|lay|the,0,0
84,big|mat|big,0,0
85,big|mat|brown,0,0
86,big|mat|calico,0,0
87,big|mat|cat,0,0
88,big|mat|dog,0,0
89,big|mat|lay,0,0
90,big|mat|mat,0,0
91,big|mat|on,0,0
92,big|mat|red,0,0
93,big|mat|rug,0,0
94,big|mat|sat,0,0
95,big|mat|small,0,0
96,big|mat|tabby,0,0
97,big|mat|the,0,0
98,big|on|big,0,0
99,big|on|brown,0,0
100,big|on|calico,0,0
101,big|on|cat,0,0
102,big|on|dog,0,0
103,big|on|lay,0,0
104,big|on|mat,0,0
105,big|on|on,0,0
106,big|on|red,0,0
107,big|on|rug,0,0
108,big|on|sat,0,0
109,big|on|small,0,0
110,big|on|tabby,0,0
111,big|on|the,0,0
112,big|red|big,0,0
113,big|red|brown,0,0
114,big|red|calico,0,0
115,big|red|cat,0,0
116,big|red|dog,-0.3568,-0.3568
117,big|red|lay,0,0
118,big|red|mat,0,0
119,big|red|on,0,0
120,big|red|red,0,0
121,big|red|rug,0,0
122,big|red|sat,0,0
123,big|red|small,0,0
124,big|red|tabby,0,0
125,big|red|the,0,0
